time,lat,lon,alt,heading,velocity
,,,,,
1438929063458,34.21265,-118.8925,214.9,235.8,0
,,,,,
1438929064562,34.21265,-118.8925,214.9,,
1438929064563,,,,235.8,0
1438929065665,34.21265,-118.8925,214.8,237.6,1.852
1438929066965,34.21265,-118.8925,214.7,237.1,2.4076
1438929067364,34.21265,-118.8925,214.8,237.2,2.4076
1438929067470,34.21265,-118.8925,214.8,236.9,2.4076
1438929067560,34.21265,-118.8925,214.8,236.2,2.4076
1438929067764,34.21265,-118.8925,214.8,,
1438929067765,,,,234.3,2.2224
1438929067861,34.21265,-118.8925,214.8,233,2.2224
1438929068365,34.21265,-118.8925,214.9,227.9,
1438929068366,,,,,1.4816
1438929068561,34.21265,-118.8925,215,227.9,0
1438929068765,34.21265,-118.8925,214.9,227.9,
1438929068766,,,,,0
1438929069163,34.21265,-118.8925,215,227.9,0
1438929069269,34.21265,-118.8925,214.9,227.9,0
1438929069366,34.21265,-118.8925,215,227.9,0
1438929069667,34.21265,-118.8925,215.1,227.9,0
1438929069765,34.21265,-118.8925,215,227.9,0
1438929069862,34.21265,-118.8925,215,227.9,0
,,,,,
1438929070863,34.21265,-118.8925,214.9,227.9,0
1438929071366,34.21265,-118.8925,215,44.8,1.6668
1438929071666,34.21265,-118.8925,215.1,45.5,0
1438929071764,34.21265,-118.8925,215.1,,
1438929071765,,,,45.5,0
1438929071862,34.21265,-118.8925,215,45.5,0
1438929071960,34.21265,-118.8925,215.1,45.5,0
1438929072260,34.21265,-118.8925,215,57.2,1.4816
1438929072763,34.21265,-118.8925,215.1,54.2,0
1438929073057,34.21265,-118.8925,215.1,54.2,0
1438929073367,34.21265,-118.8925,215.1,54.2,0
1438929073457,34.21265,-118.8925,215.2,54.2,0
1438929074360,34.21265,-118.8925,215.3,54.2,0
1438929074564,34.21265,-118.8925,215.4,54.2,0
1438929074767,34.21265,-118.8925,215.3,54.2,0
1438929075166,34.21265,-118.8925,215.3,,
1438929075167,,,,54.2,0
1438929075760,34.21265,-118.8925,215.2,54.2,0
1438929076668,34.21265,-118.8926,215.2,,
1438929076669,,,,54.2,0
,,,,,
